"1168              ","FAUSTO                          ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1169              ","TOMMY                           ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1170              ","CONNIE MIX                      ","DE 10 A 11               ","DE 10 A 11               ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1171              ","MISSY                           ","DE 3 A 4                 ","DE 3 A 4                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1178              ","MABY                            ","DE 9 A 10                ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1181              ","VELLON                          ","NO APLICA                ","NO APLICA                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1182              ","LOLA                            ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1184              ","CARMELA MIX                     ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1185              ","ALVIN                           ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1188              ","NOA                             ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1189              ","MOLLY                           ","NO APLICA                ","DE 9 A 10                ","MADEJAS 100 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1193              ","BENITO                          ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1194              ","CANDY                           ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1196              ","AMANDA                          ","DE 12 A 13               ","DE 11 A 12               ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1197              ","CRIS                            ","NO APLICA                ","DE 9 A 10                ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
